Date,Commodity,Type,Region,Price_VND_kg,Export_USD_MT,Status,Source
2020-01-15,Pepper,Black,Dak Lak,39500,2450,Low Period,VPSA
2020-02-15,Pepper,Black,Gia Lai,38000,2300,Slight Down,VPSA
2020-03-31,Pepper,Black,Dak Nong,36500,2100,Historical Low,VPSA
2020-04-15,Pepper,Black,Ba Ria,39000,2250,Recovery,Giacaphe
2020-05-20,Pepper,Black,Binh Phuoc,45000,2400,Strong Up,Giacaphe
2020-06-15,Pepper,Black,Dak Lak,52000,2600,Peak Period,VPSA
2020-07-15,Pepper,Black,Gia Lai,48500,2500,Adjusted,VPSA
2020-08-15,Pepper,Black,Dak Nong,48000,2450,Stable,Giacaphe
2020-09-15,Pepper,Black,Ba Ria,49500,2550,Slight Up,VPSA
2020-10-15,Pepper,Black,Binh Phuoc,51500,2650,Stable,Giacaphe
2020-11-15,Pepper,Black,Dak Lak,53000,2750,Upward Trend,VPSA
2020-12-25,Pepper,Black,Ba Ria,56500,2850,Year-end Peak,VPSA
2021-01-15,Pepper,Black,Dak Lak,51000,2850,Stable,VPSA
2021-02-25,Pepper,Black,Gia Lai,54500,2900,Slight Up,VPSA
2021-03-15,Pepper,Black,Ba Ria,70000,3200,Strong Surge,Giacaphe
2021-04-20,Pepper,Black,Binh Phuoc,72000,3350,Upward Trend,VPSA
2021-05-15,Pepper,Black,Dak Nong,68000,3150,Adjusted,Giacaphe
2021-06-30,Pepper,Black,Dak Lak,75000,3500,Peak Period,VPSA
2021-07-15,Pepper,Black,Ba Ria,73000,3450,Stable,Giacaphe
2021-08-15,Pepper,Black,Binh Phuoc,78000,3700,Supply Shortage,VPSA
2021-09-30,Pepper,Black,Dak Lak,81000,3900,Breakthrough,VPSA
2021-10-25,Pepper,Black,Gia Lai,88000,4200,5-year High,Giacaphe
2021-11-15,Pepper,Black,Ba Ria,85000,4100,Slight Down,VPSA
2021-12-30,Pepper,Black,Dak Lak,80500,3950,Year-end Stable,VPS
2022-01-15,Pepper,Black,Dak Lak,81000,4050,High Level,VPSA
